titile,price_c,price_d
"Ноутбук Lenovo V15, Celeron N4020(up to 2.8Ghz), 4GB, 256GB m.2 NVMe SSD, 15,6"" HD LED, Intel UHD Graphics 600, WiFi+BT, HD Web Camera, FreeDOS, Iron Grey, Eng-Rus, бесшумный [82C3001NUE](*id 12) https://www.link.kg/catalog/1/41493317",*  20136.9 ⊆   *,223 $
"Ноутбук Lenovo V15-82C3 Intel N4020 1.1-2.8GHz,4GB,1TB,15""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng https://www.link.kg/catalog/1/41483616",*  21672 ⊆   *,240 $
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503218",*  21220.5 ⊆   *,235 $
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 500GB SSD m.2 NVMe, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK](*id 12) https://www.link.kg/catalog/1/41493320",*  21310.8 ⊆   *,236 $
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, BLACK https://www.link.kg/catalog/1/41503186",*  21581.7 ⊆   *,239 $
"Ноутбук Lenovo V14-82C2 Intel N4020 1.1-2.8GHz,4GB,SSD 480Gb,14""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng https://www.link.kg/catalog/1/41483615",*  23026.5 ⊆   *,255 $
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 1000GB SSD m.2 NVMe, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK](*id 12) https://www.link.kg/catalog/1/41493323",*  22394.4 ⊆   *,248 $
"Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD+256GB SSD, Intel® UHD Graphics 605, 15.6"" LED FULL HD(1920x1080), WiFi,BT,Cam,Win10 S,серый,[GWTN156-11BK](*id 12) https://www.link.kg/catalog/1/41493314",*  22755.6 ⊆   *,252 $
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 500GB SSD m.2 NVMe+1TB HDD, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK](*id 12) https://www.link.kg/catalog/1/41493319",*  22755.6 ⊆   *,252 $
"новая позиция1Ноутбук HP 250 G8 Intel Celeron N4020 (1.10-2.80GHz), 8GB DDR4, 240GB SSD, Intel UHD Graphics 600, 15.6""HD LED, WiFi, Bluetooth, LAN, DOS, бесшумный, серый(*id 12) https://www.link.kg/catalog/1/41493326",*  22845.9 ⊆   *,253 $
"Acer TravelMate TMB118-M Black Intel Quad Core N4120 (up to 2.6Ghz), 4GB, 64GB eMMC, Intel HD Graphics, 11.6"" LED, WiFi, BT, Cam, Eng-Rus https://www.link.kg/catalog/1/41375141",*  23929.5 ⊆   *,265 $
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6"" FHD,RUS,DOS HDMI, BLACK https://www.link.kg/catalog/1/41503190",*  23568.3 ⊆   *,261 $
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 256GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus https://www.link.kg/catalog/1/41373540",*  24381 ⊆   *,270 $
"Ноутбук Lenovo Ideapad IP3 Intel Celeron N4020, 8GB, 500GB SSD m.2 NVMe, 15.6"" (1920X1080) FULL HD IPS, WiFi, Bluetooth, DOS, Platinum Grey [81WQ00Q7AK](*id 12) https://www.link.kg/catalog/1/41493324",*  24200.4 ⊆   *,268 $
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374254",*  25103.4 ⊆   *,278 $
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 512GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus https://www.link.kg/catalog/1/41373463",*  25284 ⊆   *,280 $
"Ноутбук ASUS-X543M, Intel N4020, DDR4 4GB, 1TB, 15.6"", DVDRW, 1B-Star Grey, Win10, Rus+Eng https://www.link.kg/catalog/1/41483613",*  27090 ⊆   *,300 $
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374252",*  25825.8 ⊆   *,286 $
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374242",*  26187 ⊆   *,290 $
"Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 1TB, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREY https://www.link.kg/catalog/1/41488272",*  27090 ⊆   *,300 $
"Ноутбук Gateway ULTRA SLIM i3-1115G4 (up to 4.1Ghz), 4GB, 128GB SSD M.2, HD Graphics 620, 15.6"" FULL HD LED, WiFi, BT, Cam, Win11, чехол и мышь в комплекте, ярко голубой [GWNC31514-BK](*id 12) https://www.link.kg/catalog/1/41493213",*  25735.5 ⊆   *,285 $
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,14""HD,RUS,DOS HDMI, IRON GRAY ( СЦ) https://www.link.kg/catalog/1/41503212",*  25916.1 ⊆   *,287 $
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 128GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375140",*  26638.5 ⊆   *,295 $
"Ноутбук Gateway ULTRA SLIM i3-1115G4 (up to 4.1Ghz), 4GB, 128GB SSD M.2, HD Graphics 620, 15.6"" FULL HD LED, WiFi, BT, Cam, Win11, чехол и мышь в комплекте, серый [GWNC31514-BK] +флеш памяти 128GB USB 3.0 Kingston(*id 12) https://www.link.kg/catalog/1/41493214",*  26096.7 ⊆   *,289 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374375",*  26638.5 ⊆   *,295 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374373",*  26819.1 ⊆   *,297 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374233",*  27090 ⊆   *,300 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 128GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374248",*  27090 ⊆   *,300 $
"Ноутбук Gateway ULTRA SLIM i3-1115G4 (up to 4.1Ghz), 4GB, 512GB SSD M.2 sata, HD Graphics 620, 15.6"" FULL HD LED, WiFi, BT, Cam, Win11, чехол и мышь в комплекте, серый [GWNC31514-BK](*id 12) https://www.link.kg/catalog/1/41493212",*  26548.2 ⊆   *,294 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 500GB, 15.6""FHD RUS, HDMI, ABYSS BLUE https://www.link.kg/catalog/1/41503192",*  26909.4 ⊆   *,298 $
"Ноутбук ASUS-X543M, Intel N4020, DDR4 4GB, SSD-120GB, 15.6"", DVDRW, 1B-Star Grey, Rus+Eng https://www.link.kg/catalog/1/41483611",*  28896 ⊆   *,320 $
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503176",*  26999.7 ⊆   *,299 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 240GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374249",*  27541.5 ⊆   *,305 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, SSD 120GB, 15.6""FHD RUS, HDMI, ABYSS BLUE https://www.link.kg/catalog/1/41503193",*  27090 ⊆   *,300 $
"Ноутбук ASUS-X543M, Intel N4020, DDR4 4GB, SSD-256GB, 15.6"", DVDRW, 1B-Star Grey, Rus+Eng https://www.link.kg/catalog/1/41483612",*  29347.5 ⊆   *,325 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 128GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374240",*  27993 ⊆   *,310 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, SSD 240GB, 15.6""FHD RUS, HDMI, ABYSS BLUE https://www.link.kg/catalog/1/41503194",*  27541.5 ⊆   *,305 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374339",*  28083.3 ⊆   *,311 $
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503171",*  27631.8 ⊆   *,306 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 1TB, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374337",*  28263.9 ⊆   *,313 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 500GB, 15.6""FHD RUS, HDMI, BLACK https://www.link.kg/catalog/1/41503201",*  27812.4 ⊆   *,308 $
"Ноутбук Acer Aspire Intel Core i3-1005G1 (1.20-3.40GHz), 4GB DDR4, 1TB HDD, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, DOS, Blue [NX.KAFEM.004]пятна на крышке(*id 12) https://www.link.kg/catalog/1/41493287",*  27812.4 ⊆   *,308 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 4GB, 1TB, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493152",*  27902.7 ⊆   *,309 $
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 512GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374246",*  28444.5 ⊆   *,315 $
"Моноблок Share 24, 1200LGA, 2xSODIMM DDR4 2666Hz, 1xMPCIE (128-1TB M.2), 23.8"" FHD, WiFi, Bluetooth, VGA, HDMI, 4xUSB, LAN, Audio(*id 12) https://www.link.kg/catalog/1/41492914",*  27902.7 ⊆   *,309 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374365",*  28444.5 ⊆   *,315 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 1TB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374224",*  28444.5 ⊆   *,315 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 120GB, 15.6""FHD RUS, HDMI, BLACK https://www.link.kg/catalog/1/41503202",*  27993 ⊆   *,310 $
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503169",*  28083.3 ⊆   *,311 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 1TB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374374",*  28625.1 ⊆   *,317 $
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503173",*  28173.6 ⊆   *,312 $
"Acer Aspire 3 A315-56 i3-1005G1 1.2-3.4GHz,4GB, 1TB, 15.6""FHD LED ,RUS,BLACK (12мес) https://www.link.kg/catalog/1/41503258",*  28173.6 ⊆   *,312 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, SSD 240GB, 15.6""FHD RUS, HDMI, ABYSS BLUE https://www.link.kg/catalog/1/41503197",*  28354.2 ⊆   *,314 $
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 8GB, 128GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375139",*  28896 ⊆   *,320 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 240GB, 15.6""FHD RUS, HDMI, BLACK https://www.link.kg/catalog/1/41503203",*  28444.5 ⊆   *,315 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 256GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374340",*  28986.3 ⊆   *,321 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 8GB, 256GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493147",*  28534.8 ⊆   *,316 $
"Ноутбук ASUS-X515J, i3-1005G1, DDR4 4GB, 1TB, NO DVDRW, 15.6"", WIN-10Eng, Rus+Eng https://www.link.kg/catalog/1/41483609",*  30521.4 ⊆   *,338 $
"S2982G-24TE Управляемый коммутатор уровня 2, 24 порта 10, 100, 1000Base-T и 4 порта 100, 1000BASE-X (SFP) шт https://www.link.kg/catalog/1/41472433",*  28625.1 ⊆   *,317 $
"Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 1TB + 256GB SSD SSD PCIe NVMe M.2, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREY https://www.link.kg/catalog/1/41488278",*  30069.9 ⊆   *,333 $
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 8GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375137",*  29347.5 ⊆   *,325 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB + 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374357",*  29347.5 ⊆   *,325 $
"Ноутбук Acer Aspire Intel Core i3-1005G1 (1.20-3.40GHz), 4GB DDR4, 1TB HDD, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, DOS, Blue [NX.KAFEM.004](*id 12) https://www.link.kg/catalog/1/41493289",*  28896 ⊆   *,320 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080),12GB, 256GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493131",*  28986.3 ⊆   *,321 $
"Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375134",*  29799 ⊆   *,330 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374236",*  29799 ⊆   *,330 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374341",*  29889.3 ⊆   *,331 $
"Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375128",*  29979.6 ⊆   *,332 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 8GB, 500GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493130",*  29437.8 ⊆   *,326 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 1TB + 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374334",*  30069.9 ⊆   *,333 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 1TB + 512GB SSD M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374227",*  30069.9 ⊆   *,333 $
"Lenovo V15 i3-10110U 2.1-4.1GHz,4GB,SSD 480GB,15.6""FHD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503168",*  29618.4 ⊆   *,328 $
"Ноутбук Acer Aspire Black Intel Core i3-1005G1 (up to 3.4Ghz), 8GB, 256GB M.2 NVMe PCIe, Intel HD Graphics 620, 15.6"" LED FULL HD(1920x1080),WiFi,BT,Cam,LAN RJ45,DOS, Eng-Rus(*id 12) https://www.link.kg/catalog/1/41493292",*  29708.7 ⊆   *,329 $
"Acer Aspire 3 A315 i3-1005G1 1.2-3.4GHz,12GB, SSD 256GB, 15.6""FHD,LAN,BLACK (12мес) https://www.link.kg/catalog/1/41503261",*  29799 ⊆   *,330 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, SSD 480GB, 15.6""FHD RUS, HDMI, ABYSS BLUE https://www.link.kg/catalog/1/41503198",*  29799 ⊆   *,330 $
"Ноутбук Acer Aspire A3 Intel Core i3-1005G1 (1.20-3.40GHz), 8GB DDR4, 256GB SSD m.2 NVMe, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, LAN, DOS, голубой [NX.KAFEM.004](*id 12) https://www.link.kg/catalog/1/41493300",*  29889.3 ⊆   *,331 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 1TB + 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374355",*  30431.1 ⊆   *,337 $
"Ноутбук Acer Aspire A3 Intel Core i3-1005G1 (1.20-3.40GHz), 4GB DDR4, 1TB HDD + 256GB SSD PCIe NVMe M.2, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, DOS, Black [NX.KAGEM.004](*id 12) https://www.link.kg/catalog/1/41493302",*  30069.9 ⊆   *,333 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 8GB, 1TB +256GB SSD NVMe, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493155",*  30069.9 ⊆   *,333 $
"Ноутбук HP 15s-eq1129ur 22V36EA#ACB AMD Athlon 3020e (1.20GHz-2.60GHz), 4GB DDR4, 256GB SSD, AMD Radeon Graphics 3, 15.6""FHD (1920x1080) IPS, WiFi ac, BT 4.2, HD WC, CR, DOS, Русская клавиатура, Grey https://www.link.kg/catalog/1/41499821",*  30702 ⊆   *,340 $
"Ноутбук Asus VivoBook 14 (X413JA-211.VBWB) 14"" FHD (1920x1080) WVA(IPS), i3-1005G1 (1.2GHz-3.4GHz), 4GB DDR4, 128GB SSD PCIe NVMe, UHD Graphics G1, USB-C, WiFiac, BT, HDWC, (Eng+Rus), Win10 Home, Dreamy White(*id 12) https://www.link.kg/catalog/1/41493277",*  30160.2 ⊆   *,334 $
"ASUS VivoBook X515FA-EJ186W 15.6"" FHD i3-10110U 2.1-4.1GHz,4GB,SSD 240GB,RUS,SLATE GRAY https://www.link.kg/catalog/1/41503160",*  30250.5 ⊆   *,335 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 500GB + 256GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374328",*  30792.3 ⊆   *,341 $
"Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080),20GB, 256GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493123",*  30250.5 ⊆   *,335 $
"HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 1TB + 256GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374325",*  30972.9 ⊆   *,343 $
"Ноутбук Lenovo Ideapad 3 14ITL05 Intel Core i3-1115G4 (3.00-4.10Ghz), 4GB, 128GB SSD, 14” (1920X1080), UHD Graphics, WiFi, BT, Win11 Homes, Platinum Grey [81X700FGUS](*id 12) https://www.link.kg/catalog/1/41493170",*  30431.1 ⊆   *,337 $
"Ноутбук Lenovo V15 G2 ITL Intel Core i3-1115G4 (up to 4.1Ghz), 4GB, 1TB HDD, Intel UHD Graphics, 15.6"" FULL HD, WiFi, BT, LAN RJ45, DOS, черный [82KB0021AK](*id 12) https://www.link.kg/catalog/1/41493356",*  30521.4 ⊆   *,338 $
"Ноутбук ASUS-X543M, Intel N4020, DDR4 4GB, SSD-480GB, 15.6"", DVDRW, 1B-Star Grey, Rus+Eng https://www.link.kg/catalog/1/41483610",*  32508 ⊆   *,360 $
"новая позиция3Acer Aspire 3 A315-56 i3-1005G1 1.2-3.4GHz,8GB,SSD 512GB, 15.6""FHD LED ,RUS,BLACK (12мес) https://www.link.kg/catalog/1/41503254",*  30611.7 ⊆   *,339 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 500GB + 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374349",*  31153.5 ⊆   *,345 $
